"OUTCOME High/Low LC, LP, BP",Experimental Metabolic Strategy,Growth Phase,Cultivation Scale,Temperature,Light Intensity,Agitation,Photoperiods,Growth Period,CO2 Supply,Air Supply,N,P,inorganic C,organic C,Salinity,K,Ca,Fe,Co,Cu,EDTANa,Na2EDTA,EDTAFeNa,pH,Cultivation Mode,Na2MGEDTA,EDTA,Seed Metabolic Strategy,Inorganic C Source,Organic C Source,N Source,pH Control Strategy,pH Regulators,Stage Phase Strategy,Lamp Color,Culture Medium,Lamp Type,Inoculum Concentration,Chlorella Strain
HL,photoautotrophic,stationary,5,27,37,0,14,18,0,no,0.041253,0.053215,0,0,0.000983,0.105534,0.000682,0.001,0.000099,0.0004,0,0.05,0,,batch,0,yes,photoautotrophic,none,none,sodium nitrate,initial,none,single-stage,,BBM,,0.15,Chlorella sp
HL,photoautotrophic,stationary,1,27,37,0,14,18,0,no,0.041253,0.053215,0,0,0.000983,0.105534,0.000682,0.001,0.000099,0.0004,0,0.05,0,,batch,0,yes,photoautotrophic,none,none,sodium nitrate,initial,none,single-stage,,BBM,,0.15,Chlorella sp
LL,photoautotrophic,stationary,"0,4",30,120,0,24,28,0.04,yes,1.562682,0.532381,0.22731,0,0,0.55659,0.339425,0,0,0,0.225,0,0.225,7,batch,0,yes,photoautotrophic,"sodium bicarbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,JM,,0.12,Chlorella sp
LL,photoautotrophic,stationary,"0,4",30,120,0,24,28,20,yes,1.562682,0.532381,0.22731,0,0,0.55659,0.339425,0,0,0,0.225,0,0.225,7,batch,0,yes,photoautotrophic,"sodium bicarbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,JM,,0.12,Chlorella sp
LL,photoautotrophic,stationary,"0,4",30,120,0,24,28,40,yes,1.562682,0.532381,0.22731,0,0,0.55659,0.339425,0,0,0,0.225,0,0.225,7,batch,0,yes,photoautotrophic,"sodium bicarbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,JM,,0.12,Chlorella sp
HL,photoautotrophic,stationary,,28,95,0,16,15,0,no,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,sodium carbonate,none,sodium nitrate,initial,none,single-stage,,BG11,,0.01,Chlorella sp
HL,photoautotrophic,stationary,,28,95,0,16,30,0,no,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,sodium carbonate,none,sodium nitrate,initial,none,single-stage,,BG11,,0.01,Chlorella sp
HL,photoautotrophic,stationary,,28,95,0,16,45,0,no,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,sodium carbonate,none,sodium nitrate,initial,none,single-stage,,BG11,,0.01,Chlorella sp
HL,photoautotrophic,stationary,,28,95,0,16,15,0,no,0.041253,0.053215,0,0,0.000983,0.105534,0.000682,0.001,0.000099,0.0004,0,0.05,0,,batch,0,yes,photoautotrophic,none,none,sodium nitrate,initial,none,single-stage,,BBM,,0.01,Chlorella sp
LL,photoautotrophic,stationary,,28,95,0,16,30,0,no,0.041253,0.053215,0,0,0.000983,0.105534,0.000682,0.001,0.000099,0.0004,0,0.05,0,,batch,0,yes,photoautotrophic,none,none,sodium nitrate,initial,none,single-stage,,BBM,,0.01,Chlorella sp
